x1,x2,y
34,93,1
99,91,1
72,11,0
86,89,1
5,97,1
91,58,1
58,25,0
38,48,0
24,20,0
39,51,0
44,60,1
52,56,1
78,56,1
75,82,1
28,41,0
42,20,0
47,100,1
42,43,0
65,100,1
9,15,0
73,65,1
67,14,0
74,23,0
98,58,1
84,91,1
45,73,1
13,72,0
59,30,0
80,10,0
81,99,1
25,1,0
61,18,0
42,62,1
36,11,0
36,75,1
2,90,0
96,44,1
32,91,1
37,45,0
45,3,0
43,22,0
45,40,0
77,51,1
42,68,1
48,43,0
51,62,1
46,9,0
79,28,1
21,17,0
91,17,1
34,73,1
0,70,0
35,98,1
37,86,1
33,2,0
48,78,1
0,88,0
80,33,1
13,6,0
88,7,0
7,71,0
59,24,0
99,65,1
88,44,1
64,32,0
11,22,0
88,13,1
37,80,1
89,99,1
46,28,0
33,41,0
67,73,1
92,5,0
66,0,0
52,56,1
83,71,1
80,89,1
31,45,0
54,58,1
30,8,0
90,86,1
70,53,1
14,44,0
62,51,1
47,84,1
5,38,0
64,61,1
100,83,1
3,80,0
58,36,0
79,26,1
12,85,0
48,96,1
31,60,0
40,14,0
16,66,0
19,22,0
100,80,1
5,23,0
16,61,0
54,9,0
